time,nNFkB
225.0,137112.98714373942
226.0,138361.11748297486
227.0,139613.12648152438
228.0,140868.98349032731
229.0,142128.65791923887
230.0,143392.1192388182
231.0,144659.33698207754
232.0,145930.28074619177
233.0,147204.92019417233
234.0,148483.22505650576
235.0,149765.16513275792
236.0,151050.71029314373
237.0,152339.8304800618
238.0,153632.49570959603
239.0,154928.67607298598
240.0,156228.34173804978
241.0,157531.46295059708
242.0,158838.01003580037
243.0,160147.95339953076
244.0,161461.2635296639
245.0,162777.9109973586
246.0,164097.86645830388
247.0,165421.1006539352
248.0,166747.58441262116
249.0,168077.28865082172
250.0,169410.1843742187
251.0,170746.242678816
252.0,172085.43475201313
253.0,173427.7318736512
254.0,174773.10541703188
255.0,176121.52684990907
256.0,177472.9677354542
257.0,178827.3997331969
258.0,180184.7945999384
259.0,181545.12419064046
260.0,182908.36045928905
261.0,184274.47545973444
262.0,185643.44134650583
263.0,187015.23037560238
264.0,188389.8149052621
265.0,189767.16739670577
266.0,191147.260414859
267.0,192530.0666290514
268.0,193915.55881369443
269.0,195303.70984893633
270.0,196694.4927212957
271.0,198087.88052427486
272.0,199483.84645895127
273.0,200882.3638345487
274.0,202283.40606898817
275.0,203686.9466894192
276.0,205092.959332731
277.0,206501.4177460441
278.0,207912.2957871839
279.0,209325.56742513427
280.0,210741.20674047363
281.0,212159.18792579163
282.0,213579.48528608988
283.0,215002.07323916283
284.0,216426.92631596272
285.0,217854.01916094698
286.0,219283.3265324091
287.0,220714.82330279247
288.0,222148.48445898807
289.0,223584.28510261685
290.0,225022.2004502954
291.0,226462.20583388658
292.0,227904.2767007348
293.0,229348.38861388568
294.0,230794.5172522918
295.0,232242.63841100616
296.0,233692.72800135898
297.0,235144.76205111863
298.0,236598.7167046419
299.0,238054.5682230055
300.0,239512.292984132
