observableId	simulationConditionId	time	measurement
nNFkB	init_conds	238.0	153632.49570959603
nNFkB	init_conds	239.0	154928.67607298598
nNFkB	init_conds	240.0	156228.34173804978
nNFkB	init_conds	241.0	157531.46295059708
nNFkB	init_conds	242.0	158838.01003580037
nNFkB	init_conds	243.0	160147.95339953076
nNFkB	init_conds	244.0	161461.2635296639
nNFkB	init_conds	245.0	162777.9109973586
nNFkB	init_conds	246.0	164097.86645830388
nNFkB	init_conds	247.0	165421.1006539352
nNFkB	init_conds	248.0	166747.58441262116
nNFkB	init_conds	249.0	168077.28865082172
nNFkB	init_conds	250.0	169410.1843742187
nNFkB	init_conds	251.0	170746.242678816
nNFkB	init_conds	252.0	172085.43475201313
nNFkB	init_conds	253.0	173427.7318736512
nNFkB	init_conds	254.0	174773.10541703188
nNFkB	init_conds	255.0	176121.52684990907
nNFkB	init_conds	256.0	177472.9677354542
nNFkB	init_conds	257.0	178827.3997331969
nNFkB	init_conds	258.0	180184.7945999384
nNFkB	init_conds	259.0	181545.1241906405
nNFkB	init_conds	260.0	182908.36045928905
nNFkB	init_conds	261.0	184274.47545973444
nNFkB	init_conds	262.0	185643.44134650583
nNFkB	init_conds	263.0	187015.2303756024
nNFkB	init_conds	264.0	188389.8149052621
nNFkB	init_conds	265.0	189767.16739670577
nNFkB	init_conds	266.0	191147.260414859
nNFkB	init_conds	267.0	192530.0666290514
nNFkB	init_conds	268.0	193915.55881369443
nNFkB	init_conds	269.0	195303.70984893633
nNFkB	init_conds	270.0	196694.4927212957
nNFkB	init_conds	271.0	198087.8805242749
nNFkB	init_conds	272.0	199483.84645895127
nNFkB	init_conds	273.0	200882.3638345487
nNFkB	init_conds	274.0	202283.40606898817
nNFkB	init_conds	275.0	203686.9466894192
nNFkB	init_conds	276.0	205092.959332731
nNFkB	init_conds	277.0	206501.4177460441
nNFkB	init_conds	278.0	207912.2957871839
nNFkB	init_conds	279.0	209325.56742513427
nNFkB	init_conds	280.0	210741.20674047363
nNFkB	init_conds	281.0	212159.18792579163
nNFkB	init_conds	282.0	213579.48528608988
nNFkB	init_conds	283.0	215002.07323916283
nNFkB	init_conds	284.0	216426.92631596272
nNFkB	init_conds	285.0	217854.01916094695
nNFkB	init_conds	286.0	219283.3265324091
nNFkB	init_conds	287.0	220714.82330279247
nNFkB	init_conds	288.0	222148.48445898807
nNFkB	init_conds	289.0	223584.28510261685
nNFkB	init_conds	290.0	225022.2004502954
nNFkB	init_conds	291.0	226462.20583388655
nNFkB	init_conds	292.0	227904.2767007348
nNFkB	init_conds	293.0	229348.38861388568
nNFkB	init_conds	294.0	230794.5172522918
nNFkB	init_conds	295.0	232242.63841100616
nNFkB	init_conds	296.0	233692.72800135895
nNFkB	init_conds	297.0	235144.76205111865
nNFkB	init_conds	298.0	236598.7167046419
nNFkB	init_conds	299.0	238054.5682230055
nNFkB	init_conds	300.0	239512.292984132
